date,count,,,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan-06,26632,,,Jan,26632,27351,29677,27480,28825,26494,29214,29437,30001,26652
Feb-06,22353,,,Feb,22353,23085,25700,25009,23305,25410,27685,26021,26333,24151
Mar-06,26809,,,Mar,26809,27034,28432,28715,29104,29006,30552,28850,31158,29201
Apr-06,26062,,,Apr,26062,27036,28211,27514,29087,28876,29284,29786,30323,31180
May-06,28388,,,May,28388,30059,29279,29978,30319,30479,31653,31586,33661,33216
Jun-06,28191,,,Jun,28191,29223,29279,29224,30502,30617,30820,30804,32518,32698
Jul-06,28971,,,Jul,28971,30124,30739,30654,30727,31415,32357,33235,34314,34774
Aug-06,28048,,,Aug,28048,30327,31451,31487,30856,30188,33261,33337,34337,35928
Sep-06,28023,,,Sep,28023,29577,30153,29629,30479,28979,30632,32304,33073,33209
Oct-06,29105,,,Oct,29105,30877,30577,30354,31619,29477,30397,33273,33900,32708
Nov-06,27615,,,Nov,27615,27810,27525,28767,28932,29230,26027,30688,29317,31337
Dec-06,27173,,,Dec,27173,27857,27411,26686,25415,28573,28513,30367,27121,31487
Jan-07,27351,,,,,,,,,,,,,
Feb-07,23085,,,,,,,,,,,,,
Mar-07,27034,,,,,,,,,,,,,
Apr-07,27036,,,,,,,,,,,,,
May-07,30059,,,,,,,,,,,,,
Jun-07,29223,,,,,,,,,,,,,
Jul-07,30124,,,,,,,,,,,,,
Aug-07,30327,,,,,,,,,,,,,
Sep-07,29577,,,,,,,,,,,,,
Oct-07,30877,,,,,,,,,,,,,
Nov-07,27810,,,,,,,,,,,,,
Dec-07,27857,,,,,,,,,,,,,
Jan-08,29677,,,,,,,,,,,,,
Feb-08,25700,,,,,,,,,,,,,
Mar-08,28432,,,,,,,,,,,,,
Apr-08,28211,,,,,,,,,,,,,
May-08,29279,,,,,,,,,,,,,
Jun-08,29279,,,,,,,,,,,,,
Jul-08,30739,,,,,,,,,,,,,
Aug-08,31451,,,,,,,,,,,,,
Sep-08,30153,,,,,,,,,,,,,
Oct-08,30577,,,,,,,,,,,,,
Nov-08,27525,,,,,,,,,,,,,
Dec-08,27411,,,,,,,,,,,,,
Jan-09,27480,,,,,,,,,,,,,
Feb-09,25009,,,,,,,,,,,,,
Mar-09,28715,,,,,,,,,,,,,
Apr-09,27514,,,,,,,,,,,,,
May-09,29978,,,,,,,,,,,,,
Jun-09,29224,,,,,,,,,,,,,
Jul-09,30654,,,,,,,,,,,,,
Aug-09,31487,,,,,,,,,,,,,
Sep-09,29629,,,,,,,,,,,,,
Oct-09,30354,,,,,,,,,,,,,
Nov-09,28767,,,,,,,,,,,,,
Dec-09,26686,,,,,,,,,,,,,
Jan-10,28825,,,,,,,,,,,,,
Feb-10,23305,,,,,,,,,,,,,
Mar-10,29104,,,,,,,,,,,,,
Apr-10,29087,,,,,,,,,,,,,
May-10,30319,,,,,,,,,,,,,
Jun-10,30502,,,,,,,,,,,,,
Jul-10,30727,,,,,,,,,,,,,
Aug-10,30856,,,,,,,,,,,,,
Sep-10,30479,,,,,,,,,,,,,
Oct-10,31619,,,,,,,,,,,,,
Nov-10,28932,,,,,,,,,,,,,
Dec-10,25415,,,,,,,,,,,,,
Jan-11,26494,,,,,,,,,,,,,
Feb-11,25410,,,,,,,,,,,,,
Mar-11,29006,,,,,,,,,,,,,
Apr-11,28876,,,,,,,,,,,,,
May-11,30479,,,,,,,,,,,,,
Jun-11,30617,,,,,,,,,,,,,
Jul-11,31415,,,,,,,,,,,,,
Aug-11,30188,,,,,,,,,,,,,
Sep-11,28979,,,,,,,,,,,,,
Oct-11,29477,,,,,,,,,,,,,
Nov-11,29230,,,,,,,,,,,,,
Dec-11,28573,,,,,,,,,,,,,
Jan-12,29214,,,,,,,,,,,,,
Feb-12,27685,,,,,,,,,,,,,
Mar-12,30552,,,,,,,,,,,,,
Apr-12,29284,,,,,,,,,,,,,
May-12,31653,,,,,,,,,,,,,
Jun-12,30820,,,,,,,,,,,,,
Jul-12,32357,,,,,,,,,,,,,
Aug-12,33261,,,,,,,,,,,,,
Sep-12,30632,,,,,,,,,,,,,
Oct-12,30397,,,,,,,,,,,,,
Nov-12,26027,,,,,,,,,,,,,
Dec-12,28513,,,,,,,,,,,,,
Jan-13,29437,,,,,,,,,,,,,
Feb-13,26021,,,,,,,,,,,,,
Mar-13,28850,,,,,,,,,,,,,
Apr-13,29786,,,,,,,,,,,,,
May-13,31586,,,,,,,,,,,,,
Jun-13,30804,,,,,,,,,,,,,
Jul-13,33235,,,,,,,,,,,,,
Aug-13,33337,,,,,,,,,,,,,
Sep-13,32304,,,,,,,,,,,,,
Oct-13,33273,,,,,,,,,,,,,
Nov-13,30688,,,,,,,,,,,,,
Dec-13,30367,,,,,,,,,,,,,
Jan-14,30001,,,,,,,,,,,,,
Feb-14,26333,,,,,,,,,,,,,
Mar-14,31158,,,,,,,,,,,,,
Apr-14,30323,,,,,,,,,,,,,
May-14,33661,,,,,,,,,,,,,
Jun-14,32518,,,,,,,,,,,,,
Jul-14,34314,,,,,,,,,,,,,
Aug-14,34337,,,,,,,,,,,,,
Sep-14,33073,,,,,,,,,,,,,
Oct-14,33900,,,,,,,,,,,,,
Nov-14,29317,,,,,,,,,,,,,
Dec-14,27121,,,,,,,,,,,,,
Jan-15,26652,,,,,,,,,,,,,
Feb-15,24151,,,,,,,,,,,,,
Mar-15,29201,,,,,,,,,,,,,
Apr-15,31180,,,,,,,,,,,,,
May-15,33216,,,,,,,,,,,,,
Jun-15,32698,,,,,,,,,,,,,
Jul-15,34774,,,,,,,,,,,,,
Aug-15,35928,,,,,,,,,,,,,
Sep-15,33209,,,,,,,,,,,,,
Oct-15,32708,,,,,,,,,,,,,
Nov-15,31337,,,,,,,,,,,,,
Dec-15,31487,,,,,,,,,,,,,