12:00 - 18:00 PETIT LARCENY,244642
18:00 - 24:00 PETIT LARCENY,194047
18:00 - 24:00 CRIMINAL MISCHIEF & RELATED OF,145680
12:00 - 18:00 HARRASSMENT 2,135861
12:00 - 18:00 GRAND LARCENY,122414
18:00 - 24:00 HARRASSMENT 2,116765
18:00 - 24:00 ASSAULT 3 & RELATED OFFENSES,116239
06:00 - 12:00 PETIT LARCENY,115989
18:00 - 24:00 DANGEROUS DRUGS,102204
12:00 - 18:00 ASSAULT 3 & RELATED OFFENSES,100272
12:00 - 18:00 CRIMINAL MISCHIEF & RELATED OF,97746
06:00 - 12:00 HARRASSMENT 2,85362
18:00 - 24:00 GRAND LARCENY,84882
00:00 - 06:00 ASSAULT 3 & RELATED OFFENSES,81021
00:00 - 06:00 CRIMINAL MISCHIEF & RELATED OF,77440
12:00 - 18:00 DANGEROUS DRUGS,70196
06:00 - 12:00 GRAND LARCENY,66748
06:00 - 12:00 CRIMINAL MISCHIEF & RELATED OF,66147
12:00 - 18:00 OFF. AGNST PUB ORD SENSBLTY &,66100
00:00 - 06:00 PETIT LARCENY,61347
06:00 - 12:00 ASSAULT 3 & RELATED OFFENSES,56677
06:00 - 12:00 BURGLARY,55031
18:00 - 24:00 OFF. AGNST PUB ORD SENSBLTY &,52419
12:00 - 18:00 BURGLARY,51839
00:00 - 06:00 GRAND LARCENY,47729
06:00 - 12:00 OFF. AGNST PUB ORD SENSBLTY &,46989
18:00 - 24:00 ROBBERY,45062
18:00 - 24:00 FELONY ASSAULT,41430
18:00 - 24:00 BURGLARY,41356
00:00 - 06:00 HARRASSMENT 2,40631
18:00 - 24:00 GRAND LARCENY OF MOTOR VEHICLE,40228
12:00 - 18:00 ROBBERY,38906
00:00 - 06:00 INTOXICATED & IMPAIRED DRIVING,36511
18:00 - 24:00 DANGEROUS WEAPONS,35417
00:00 - 06:00 ROBBERY,34940
00:00 - 06:00 FELONY ASSAULT,34554
00:00 - 06:00 DANGEROUS DRUGS,34320
12:00 - 18:00 FELONY ASSAULT,31796
18:00 - 24:00 MISCELLANEOUS PENAL LAW,28317
12:00 - 18:00 MISCELLANEOUS PENAL LAW,25962
18:00 - 24:00 OFFENSES AGAINST PUBLIC ADMINI,23177
12:00 - 18:00 DANGEROUS WEAPONS,22964
00:00 - 06:00 OFF. AGNST PUB ORD SENSBLTY &,22784
00:00 - 06:00 BURGLARY,22397
12:00 - 18:00 OFFENSES AGAINST PUBLIC ADMINI,21270
12:00 - 18:00 GRAND LARCENY OF MOTOR VEHICLE,20560
06:00 - 12:00 FELONY ASSAULT,19216
06:00 - 12:00 DANGEROUS DRUGS,19165
00:00 - 06:00 DANGEROUS WEAPONS,17903
18:00 - 24:00 CRIMINAL TRESPASS,17439
06:00 - 12:00 ROBBERY,17289
06:00 - 12:00 MISCELLANEOUS PENAL LAW,15032
06:00 - 12:00 GRAND LARCENY OF MOTOR VEHICLE,14686
00:00 - 06:00 MISCELLANEOUS PENAL LAW,14475
12:00 - 18:00 FORGERY,14165
00:00 - 06:00 GRAND LARCENY OF MOTOR VEHICLE,14089
00:00 - 06:00 OFFENSES AGAINST PUBLIC ADMINI,13469
12:00 - 18:00 CRIMINAL TRESPASS,12611
12:00 - 18:00 THEFT-FRAUD,12351
06:00 - 12:00 OFFENSES AGAINST PUBLIC ADMINI,11654
18:00 - 24:00 VEHICLE AND TRAFFIC LAWS,11379
06:00 - 12:00 THEFT-FRAUD,11094
12:00 - 18:00 VEHICLE AND TRAFFIC LAWS,10530
18:00 - 24:00 INTOXICATED & IMPAIRED DRIVING,10011
18:00 - 24:00 FORGERY,9966
12:00 - 18:00 POSSESSION OF STOLEN PROPERTY,9270
06:00 - 12:00 DANGEROUS WEAPONS,7890
12:00 - 18:00 OFFENSES INVOLVING FRAUD,7603
00:00 - 06:00 CRIMINAL TRESPASS,7152
12:00 - 18:00 FRAUDS,6918
06:00 - 12:00 VEHICLE AND TRAFFIC LAWS,6855
06:00 - 12:00 CRIMINAL TRESPASS,6675
00:00 - 06:00 THEFT-FRAUD,6617
00:00 - 06:00 VEHICLE AND TRAFFIC LAWS,5688
18:00 - 24:00 POSSESSION OF STOLEN PROPERTY,5645
00:00 - 06:00 FORGERY,5327
06:00 - 12:00 FORGERY,5112
06:00 - 12:00 FRAUDS,4632
18:00 - 24:00 FRAUDS,4469
00:00 - 06:00 FRAUDS,4327
18:00 - 24:00 THEFT-FRAUD,3235
00:00 - 06:00 POSSESSION OF STOLEN PROPERTY,3119
18:00 - 24:00 OFFENSES AGAINST THE PERSON,3100
06:00 - 12:00 POSSESSION OF STOLEN PROPERTY,3093
12:00 - 18:00 UNAUTHORIZED USE OF A VEHICLE,2898
18:00 - 24:00 UNAUTHORIZED USE OF A VEHICLE,2756
06:00 - 12:00 INTOXICATED & IMPAIRED DRIVING,2754
12:00 - 18:00 ADMINISTRATIVE CODE,2675
12:00 - 18:00 OFFENSES AGAINST THE PERSON,2655
18:00 - 24:00 OFFENSES INVOLVING FRAUD,2445
00:00 - 06:00 UNAUTHORIZED USE OF A VEHICLE,2396
00:00 - 06:00 OTHER OFFENSES RELATED TO THEF,2383
18:00 - 24:00 ADMINISTRATIVE CODE,2323
06:00 - 12:00 ADMINISTRATIVE CODE,2167
00:00 - 06:00 ARSON,2078
18:00 - 24:00 OTHER OFFENSES RELATED TO THEF,2076
12:00 - 18:00 INTOXICATED & IMPAIRED DRIVING,1979
06:00 - 12:00 UNAUTHORIZED USE OF A VEHICLE,1921
18:00 - 24:00 ARSON,1904
12:00 - 18:00 OTHER STATE LAWS (NON PENAL LA,1807
12:00 - 18:00 OTHER OFFENSES RELATED TO THEF,1631
00:00 - 06:00 OFFENSES AGAINST THE PERSON,1527
12:00 - 18:00 ARSON,1241
06:00 - 12:00 OFFENSES INVOLVING FRAUD,1118
06:00 - 12:00 OFFENSES AGAINST THE PERSON,1038
06:00 - 12:00 OTHER OFFENSES RELATED TO THEF,981
12:00 - 18:00 THEFT OF SERVICES,905
06:00 - 12:00 ARSON,891
12:00 - 18:00 FRAUDULENT ACCOSTING,871
00:00 - 06:00 ADMINISTRATIVE CODE,838
18:00 - 24:00 NYS LAWS-UNCLASSIFIED FELONY,781
18:00 - 24:00 OTHER STATE LAWS (NON PENAL LA,751
12:00 - 18:00 BURGLAR'S TOOLS,708
18:00 - 24:00 GAMBLING,693
00:00 - 06:00 OFFENSES INVOLVING FRAUD,667
12:00 - 18:00 NYS LAWS-UNCLASSIFIED FELONY,628
18:00 - 24:00 FRAUDULENT ACCOSTING,561
00:00 - 06:00 NYS LAWS-UNCLASSIFIED FELONY,550
12:00 - 18:00 KIDNAPPING & RELATED OFFENSES,543
06:00 - 12:00 OTHER STATE LAWS (NON PENAL LA,524
18:00 - 24:00 OFFENSES RELATED TO CHILDREN,505
18:00 - 24:00 KIDNAPPING & RELATED OFFENSES,487
12:00 - 18:00 GAMBLING,479
00:00 - 06:00 BURGLAR'S TOOLS,467
18:00 - 24:00 BURGLAR'S TOOLS,466
06:00 - 12:00 NYS LAWS-UNCLASSIFIED FELONY,432
06:00 - 12:00 THEFT OF SERVICES,402
06:00 - 12:00 KIDNAPPING & RELATED OFFENSES,329
18:00 - 24:00 THEFT OF SERVICES,302
18:00 - 24:00 PETIT LARCENY OF MOTOR VEHICLE,297
06:00 - 12:00 BURGLAR'S TOOLS,277
18:00 - 24:00 OFFENSES AGAINST PUBLIC SAFETY,252
18:00 - 24:00 ALCOHOLIC BEVERAGE CONTROL LAW,244
00:00 - 06:00 KIDNAPPING & RELATED OFFENSES,238
00:00 - 06:00 FRAUDULENT ACCOSTING,229
18:00 - 24:00 PROSTITUTION & RELATED OFFENSES,223
00:00 - 06:00 GAMBLING,221
12:00 - 18:00 OFFENSES RELATED TO CHILDREN,209
00:00 - 06:00 PROSTITUTION & RELATED OFFENSES,206
18:00 - 24:00 DISORDERLY CONDUCT,201
12:00 - 18:00 DISORDERLY CONDUCT,199
06:00 - 12:00 FRAUDULENT ACCOSTING,197
00:00 - 06:00 OFFENSES RELATED TO CHILDREN,186
12:00 - 18:00 PETIT LARCENY OF MOTOR VEHICLE,182
00:00 - 06:00 ALCOHOLIC BEVERAGE CONTROL LAW,177
00:00 - 06:00 OTHER STATE LAWS (NON PENAL LA,167
06:00 - 12:00 PETIT LARCENY OF MOTOR VEHICLE,158
12:00 - 18:00 OFFENSES AGAINST PUBLIC SAFETY,145
00:00 - 06:00 DISORDERLY CONDUCT,125
00:00 - 06:00 OFFENSES AGAINST PUBLIC SAFETY,123
00:00 - 06:00 PETIT LARCENY OF MOTOR VEHICLE,119
18:00 - 24:00 CHILD ABANDONMENT/NON SUPPORT,95
12:00 - 18:00 PROSTITUTION & RELATED OFFENSES,90
12:00 - 18:00 JOSTLING,85
12:00 - 18:00 CHILD ABANDONMENT/NON SUPPORT,80
00:00 - 06:00 JOSTLING,76
"18:00 - 24:00 LOITERING/GAMBLING (CARDS, DIC",72
06:00 - 12:00 GAMBLING,64
06:00 - 12:00 DISORDERLY CONDUCT,61
12:00 - 18:00 ALCOHOLIC BEVERAGE CONTROL LAW,57
06:00 - 12:00 CHILD ABANDONMENT/NON SUPPORT,57
18:00 - 24:00 OTHER STATE LAWS,56
12:00 - 18:00 OTHER STATE LAWS,51
06:00 - 12:00 OFFENSES RELATED TO CHILDREN,45
18:00 - 24:00 JOSTLING,44
00:00 - 06:00 THEFT OF SERVICES,43
00:00 - 06:00 CHILD ABANDONMENT/NON SUPPORT,41
18:00 - 24:00 ESCAPE 3,39
06:00 - 12:00 OFFENSES AGAINST PUBLIC SAFETY,36
00:00 - 06:00 OTHER STATE LAWS,35
06:00 - 12:00 PROSTITUTION & RELATED OFFENSES,34
12:00 - 18:00 ESCAPE 3,33
"00:00 - 06:00 LOITERING/GAMBLING (CARDS, DIC",32
"12:00 - 18:00 LOITERING/GAMBLING (CARDS, DIC",30
12:00 - 18:00 ANTICIPATORY OFFENSES,29
06:00 - 12:00 OTHER STATE LAWS,29
00:00 - 06:00 HOMICIDE-NEGLIGENT-VEHICLE,28
00:00 - 06:00 INTOXICATED/IMPAIRED DRIVING,25
06:00 - 12:00 UNLAWFUL POSS. WEAP. ON SCHOOL,22
00:00 - 06:00 ESCAPE 3,22
12:00 - 18:00 NEW YORK CITY HEALTH CODE,22
06:00 - 12:00 JOSTLING,20
18:00 - 24:00 NEW YORK CITY HEALTH CODE,18
06:00 - 12:00 ESCAPE 3,17
18:00 - 24:00 ANTICIPATORY OFFENSES,16
18:00 - 24:00 HOMICIDE-NEGLIGENT-VEHICLE,14
12:00 - 18:00 DISRUPTION OF A RELIGIOUS SERV,14
12:00 - 18:00 UNLAWFUL POSS. WEAP. ON SCHOOL,12
06:00 - 12:00 ANTICIPATORY OFFENSES,12
12:00 - 18:00 LOITERING FOR DRUG PURPOSES,11
18:00 - 24:00 DISRUPTION OF A RELIGIOUS SERV,11
00:00 - 06:00 LOITERING/DEVIATE SEX,11
06:00 - 12:00 ALCOHOLIC BEVERAGE CONTROL LAW,10
00:00 - 06:00 NEW YORK CITY HEALTH CODE,9
00:00 - 06:00 ANTICIPATORY OFFENSES,9
06:00 - 12:00 DISRUPTION OF A RELIGIOUS SERV,9
06:00 - 12:00 NEW YORK CITY HEALTH CODE,8
"12:00 - 18:00 HOMICIDE-NEGLIGENT,UNCLASSIFIE",8
18:00 - 24:00 ADMINISTRATIVE CODES,7
00:00 - 06:00 ADMINISTRATIVE CODES,7
18:00 - 24:00 INTOXICATED/IMPAIRED DRIVING,7
18:00 - 24:00 LOITERING FOR DRUG PURPOSES,6
06:00 - 12:00 HOMICIDE-NEGLIGENT-VEHICLE,6
"00:00 - 06:00 HOMICIDE-NEGLIGENT,UNCLASSIFIE",5
"06:00 - 12:00 LOITERING/GAMBLING (CARDS, DIC",4
12:00 - 18:00 LOITERING,4
"06:00 - 12:00 HOMICIDE-NEGLIGENT,UNCLASSIFIE",4
12:00 - 18:00 FORTUNE TELLING,4
18:00 - 24:00 FORTUNE TELLING,3
18:00 - 24:00 ABORTION,3
00:00 - 06:00 LOITERING,3
00:00 - 06:00 DISRUPTION OF A RELIGIOUS SERV,2
18:00 - 24:00 OTHER TRAFFIC INFRACTION,2
06:00 - 12:00 LOITERING,2
06:00 - 12:00 INTOXICATED/IMPAIRED DRIVING,2
12:00 - 18:00 HOMICIDE-NEGLIGENT-VEHICLE,2
"18:00 - 24:00 HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
18:00 - 24:00 LOITERING/DEVIATE SEX,2
18:00 - 24:00 LOITERING,1
12:00 - 18:00 ADMINISTRATIVE CODES,1
00:00 - 06:00 OTHER TRAFFIC INFRACTION,1
06:00 - 12:00 UNDER THE INFLUENCE OF DRUGS,1
06:00 - 12:00 FORTUNE TELLING,1
18:00 - 24:00 UNLAWFUL POSS. WEAP. ON SCHOOL,1
06:00 - 12:00 OTHER TRAFFIC INFRACTION,1
18:00 - 24:00 UNDER THE INFLUENCE OF DRUGS,1
18:00 - 24:00 OFFENSES AGAINST MARRIAGE UNCL,1
